feature,importance
is_free,0.17699812
category_Steam Trading Cards,0.057374112
category_Adjustable Text Size,0.046062376
genre_Gore,0.039212
category_Surround Sound,0.023370462
category_Adjustable Difficulty,0.020866914
genre_Education,0.018123418
category_LAN PvP,0.016249223
genre_Video Production,0.014145976
category_Captions available,0.013269065
category_Includes level editor,0.013251989
category_LAN Co-op,0.013210549
genre_Animation & Modeling,0.012957923
dlc,0.012608994
category_MMO,0.011577692
required_age,0.011244141
category_Stereo Sound,0.011109168
category_Shared/Split Screen Co-op,0.010974498
category_Touch Only Option,0.010715375
category_Steam Leaderboards,0.010284174
genre_Software Training,0.010217322
category_Cross-Platform Multiplayer,0.009686858
category_Shared/Split Screen,0.00968016
genre_Utilities,0.00953733
has_esrb_rating,0.00952264
price_discount_percent,0.009429249
category_Remote Play on Phone,0.009391911
support_english_0.0,0.009319937
category_Remote Play Together,0.009105601
category_Custom Volume Controls,0.008891025
genre_RPG,0.008800999
controller_support,0.008764741
category_Online Co-op,0.008614214
support_english_1.0,0.008439384
category_Online PvP,0.008407542
category_Partial Controller Support,0.008288874
has_dejus_rating,0.008023821
genre_Game Development,0.007896732
has_pegi_rating,0.0078045977
category_Steam Cloud,0.0077706496
category_Shared/Split Screen PvP,0.007757602
category_Color Alternatives,0.0077555915
category_Camera Comfort,0.0076964805
category_Stats,0.0075928383
supported_languages,0.0075606885
achievements,0.0074101603
banned_in_germany,0.007299365
price_initial,0.0072450475
category_Co-op,0.00716693
platforms_linux,0.0071603763
category_Single-player,0.0071399244
has_vr_support,0.007069957
is_mainstream_publisher,0.007058752
category_Steam Achievements,0.0070294933
category_PvP,0.006971462
category_Mouse Only Option,0.0069497456
category_Multi-player,0.0069363737
platforms_mac,0.006743394
genre_Sports,0.006680555
genre_Racing,0.0066778837
genre_Early Access,0.0065863393
genre_Strategy,0.0065849093
category_Keyboard Only Option,0.006486069
genre_Violent,0.0064442824
genre_Simulation,0.0063501834
category_Save Anytime,0.0063376655
price_final,0.0061851465
genre_Indie,0.006125259
genre_Massively Multiplayer,0.0059502334
category_Playable without Timed Input,0.0059210034
has_violence_content,0.005863644
max_age_rating,0.0057727983
is_mainstream_developer,0.005667487
genre_Casual,0.005655612
category_Steam Workshop,0.0056350506
category_Family Sharing,0.005633284
genre_Free To Play,0.0056096017
category_In-App Purchases,0.0055494644
category_Remote Play on TV,0.0055485656
genre_Adventure,0.0054974966
genre_Action,0.005318096
genre_Design & Illustration,0.0053138174
category_Remote Play on Tablet,0.0031008788
category_Commentary available,0.0017500607
category_HDR available,9.480725e-06
category_Subtitle Options,1.1710382e-06
category_Cooperativos en línea,0.0
category_Cooperativos,0.0
support_english_Unknown,0.0
category_Cooperativos en pantalla dividida/compartida,0.0
controller_support_binary,0.0
category_Estadísticas,0.0
genre_Web Publishing,0.0
category_Pantalla dividida/compartida,0.0
category_Multijugador multiplataforma,0.0
category_Full controller support,0.0
category_Narrated Game Menus,0.0
category_Steam Timeline,0.0
category_Valve Anti-Cheat enabled,0.0
genre_Sexual Content,0.0
category_Steam Turn Notifications,0.0
genre_Photo Editing,0.0
genre_Nudity,0.0
genre_Movie,0.0
category_JcJ,0.0
category_JcJ en línea,0.0
category_JcJ en pantalla dividida/compartida,0.0
genre_Audio Production,0.0
category_Multijugador,0.0
platforms_windows,0.0
